T = 0.271153
Normalization Constant = 24000.000000

     v        P(v)     Gaussian Fit
-2.707200   0.000000    0.000001
-2.706000   0.000000    0.000001
-2.704800   0.000000    0.000001
-2.703600   0.000000    0.000001
-2.702400   0.000000    0.000001
-2.701200   0.000000    0.000001
-2.700000   0.000000    0.000001
-2.698800   0.000000    0.000001
-2.697600   0.000000    0.000001
-2.696400   0.000000    0.000001
-2.695200   0.000000    0.000001
-2.694000   0.000000    0.000001
-2.692800   0.000000    0.000001
-2.691600   0.000000    0.000001
-2.690400   0.000000    0.000001
-2.689200   0.000000    0.000001
-2.688000   0.000000    0.000001
-2.686800   0.000000    0.000001
-2.685600   0.000000    0.000001
-2.684400   0.000000    0.000001
-2.683200   0.000000    0.000001
-2.682000   0.000000    0.000001
-2.680800   0.000000    0.000001
-2.679600   0.000000    0.000001
-2.678400   0.000000    0.000001
-2.677200   0.000000    0.000001
-2.676000   0.000000    0.000001
-2.674800   0.000000    0.000001
-2.673600   0.000000    0.000001
-2.672400   0.000000    0.000001
-2.671200   0.000000    0.000001
-2.670000   0.000000    0.000001
-2.668800   0.000000    0.000002
-2.667600   0.000000    0.000002
-2.666400   0.000000    0.000002
-2.665200   0.000000    0.000002
-2.664000   0.000000    0.000002
-2.662800   0.000000    0.000002
-2.661600   0.000000    0.000002
-2.660400   0.000000    0.000002
-2.659200   0.000000    0.000002
-2.658000   0.000000    0.000002
-2.656800   0.000000    0.000002
-2.655600   0.000000    0.000002
-2.654400   0.000000    0.000002
-2.653200   0.000000    0.000002
-2.652000   0.000000    0.000002
-2.650800   0.000000    0.000002
-2.649600   0.000000    0.000002
-2.648400   0.000000    0.000002
-2.647200   0.000000    0.000002
-2.646000   0.000000    0.000002
-2.644800   0.000000    0.000002
-2.643600   0.000000    0.000002
-2.642400   0.000000    0.000002
-2.641200   0.000000    0.000002
-2.640000   0.000000    0.000002
-2.638800   0.000000    0.000002
-2.637600   0.000000    0.000002
-2.636400   0.000000    0.000002
-2.635200   0.000000    0.000002
-2.634000   0.000000    0.000002
-2.632800   0.000000    0.000002
-2.631600   0.000000    0.000002
-2.630400   0.000000    0.000002
-2.629200   0.000000    0.000002
-2.628000   0.000000    0.000002
-2.626800   0.000000    0.000002
-2.625600   0.000000    0.000002
-2.624400   0.000000    0.000002
-2.623200   0.000000    0.000002
-2.622000   0.000000    0.000002
-2.620800   0.000000    0.000002
-2.619600   0.000000    0.000002
-2.618400   0.000000    0.000002
-2.617200   0.000000    0.000003
-2.616000   0.000000    0.000003
-2.614800   0.000000    0.000003
-2.613600   0.000000    0.000003
-2.612400   0.000000    0.000003
-2.611200   0.000000    0.000003
-2.610000   0.000000    0.000003
-2.608800   0.000000    0.000003
-2.607600   0.000000    0.000003
-2.606400   0.000000    0.000003
-2.605200   0.000000    0.000003
-2.604000   0.000000    0.000003
-2.602800   0.000000    0.000003
-2.601600   0.000000    0.000003
-2.600400   0.000000    0.000003
-2.599200   0.000000    0.000003
-2.598000   0.000000    0.000003
-2.596800   0.000000    0.000003
-2.595600   0.000000    0.000003
-2.594400   0.000000    0.000003
-2.593200   0.000000    0.000003
-2.592000   0.000000    0.000003
-2.590800   0.000000    0.000003
-2.589600   0.000000    0.000003
-2.588400   0.000000    0.000003
-2.587200   0.000000    0.000003
-2.586000   0.000000    0.000003
-2.584800   0.000000    0.000003
-2.583600   0.000000    0.000003
-2.582400   0.000000    0.000003
-2.581200   0.000000    0.000004
-2.580000   0.000000    0.000004
-2.578800   0.000000    0.000004
-2.577600   0.000000    0.000004
-2.576400   0.000000    0.000004
-2.575200   0.000000    0.000004
-2.574000   0.000000    0.000004
-2.572800   0.000000    0.000004
-2.571600   0.000000    0.000004
-2.570400   0.000000    0.000004
-2.569200   0.000000    0.000004
-2.568000   0.000000    0.000004
-2.566800   0.000000    0.000004
-2.565600   0.000000    0.000004
-2.564400   0.000000    0.000004
-2.563200   0.000000    0.000004
-2.562000   0.000000    0.000004
-2.560800   0.000000    0.000004
-2.559600   0.000000    0.000004
-2.558400   0.000000    0.000004
-2.557200   0.000000    0.000004
-2.556000   0.000000    0.000004
